company_name,us_ticker_name,local_ticker_name,index,headline,date,timestamp,breaking_recap,source,reporter,classification,confidence,reasoning,key_factors,news_sentiment,event_category,event_correlation,actionable_insights,original_headline,original_language,translated_language,url
Panasonic Holdings Corporation,PCRHY,6752,TOPIX,"Panasonic HD - Rebounds, revised prices for power tools, electrical construction materials, etc.",9/17/25,15:37,,Traders Web,Unknown,INSIGNIFICANT,HIGH,"While Panasonic announced price revisions for a range of products, the implementation period is set for November 2025 to April 2026. This significant delay (over a year away) means the information is unlikely to have a direct, near-term impact on the stock price, making it not actionable for short-term trading purposes.","Price revision announcement is recent., Implementation of price revisions is delayed by over a year (Nov 2025 - Apr 2026)., Lack of near-term impact on stock price., Operational adjustment rather than immediate financial catalyst.",news_sentiment,event_category,event_correlation,None,パナソニックＨＤ－反発　電動工具や電設資材などの価格を改定,ja,en,https://finance.yahoo.co.jp/news/detail/f7b8ef2a9415f9693c9da8f3aa0d2459b583ac5d
Panasonic Holdings Corporation,PCRHY,6752,TOPIX,"Ricoh - Firm, METI, 24.6 billion yen for flexible solar cells, support for development by the company and Panasonic HD = Nikkei",9/10/25,12:02,,Traders Web,Unknown,SIGNIFICANT,HIGH,"The article details a substantial government subsidy (24.6 billion yen) directly to Panasonic Holdings and partners for the research and development of perovskite solar cells. This funding reduces R&D costs, accelerates development in a strategic growth area (Energy segment), and signals government support, providing clear actionable intelligence for traders.","Substantial government subsidy (24.6 billion yen) for R&D, Direct financial support to Panasonic Holdings, Focus on strategic, high-potential technology (perovskite solar cells), Clear long-term production target (1 GW by 2030) for the technology",news_sentiment,event_category,event_correlation,"This news indicates reduced R&D risk and accelerated development in a key growth area for Panasonic's Energy segment, potentially leading to increased investor confidence and a positive re-evaluation of the company's future revenue potential in renewable energy. Traders might consider this a positive catalyst.",リコー－底堅い　経産省、曲がる太陽電池に246億円　同社やパナＨＤの開発支援＝日経,ja,en,https://finance.yahoo.co.jp/news/detail/64ba111bb38c794ff99f3ff960b197917a1f7b17
Renesas Electronics Corp,RNECY,6723,TOPIX,"[Analyst Rating] Renesas Elec maintains strong rating, raises target price to 2,500 yen (Major US-affiliated Securities Firm)",10/31/25,16:12,,IFIS,Unknown,INSIGNIFICANT,HIGH,"The article reports an analyst rating and target price revision from a major US brokerage but does not provide any explanation or reasoning behind the brokerage's decision. According to the provided classification criteria, analyst ratings are considered 'SIGNIFICANT' only if they come 'with explaining reasoning,' and 'INSIGNIFICANT' if they are 'unsubstantiated ratings' or 'without explaining reasoning.' This article falls into the latter category.","Analyst rating provided without explaining reasoning from the brokerage., Explicitly matches the 'Unsubstantiated Ratings' criterion for INSIGNIFICANT articles., Lacks the detailed justification required for analyst ratings to be classified as SIGNIFICANT.",news_sentiment,event_category,event_correlation,None,"【アナリスト評価】ルネサスエレ、レーティング強気を継続、目標株価2,500円に引上げ（米系大手証券）",ja,en,https://finance.yahoo.co.jp/news/detail/e321bda9facfad51b61b79fa6b22786d0817db3d
Renesas Electronics Corp,RNECY,6723,TOPIX,"Morning Session Comment No.4 Nihon Avionics, Daifuku, Renesas, NTT DIM, Okinawa Cellular, Toei Animation",10/30/25,15:37,,Traders Web,Unknown,INSIGNIFICANT,HIGH,"The article is a multi-company commentary covering six different companies, including Renesas Electronics Corporation. While the section on Renesas contains specific, timely, and actionable financial results (exceeding market consensus), the article as a whole is not primarily dedicated to Renesas. Its content is diluted by information about other companies, making it 'too noisy' and fitting the 'Multi-Company Consolidation' and 'Too Noisy' criteria for an 'INSIGNIFICANT' classification.","Multi-company consolidation format, Content diluted across six different companies, Not primarily dedicated to Renesas Electronics Corporation, Fits 'Too Noisy' criterion despite specific actionable intelligence within a section",news_sentiment,event_category,event_correlation,None,前場コメント No.4　日アビオ、ダイフク、ルネサス、ＮＴＴＤＩＭ、沖縄セルラー、東映アニメ,ja,en,https://finance.yahoo.co.jp/news/detail/7c40e61a1abf8460b79a7c0161185cbc016c6dea
Renesas Electronics Corp,RNECY,6723,TOPIX,[Earnings Flash Report] Renesas: 7-9 month period (3Q) net profit increased by 84%,10/30/25,12:02,,Kabutan,Unknown,SIGNIFICANT,HIGH,"The article reports Renesas Electronics' recent Q3 financial results, highlighting a significant 84.1% year-on-year increase in net profit and an improved operating profit margin for the quarter. These are specific, timely, and company-focused financial metrics that provide clear actionable intelligence for traders.","Recent Q3 financial results announcement (October 30), Significant year-on-year net profit growth (84.1%) for the quarter, Improved sales operating profit margin (from 15.5% to 21.7%), Specific, company-disclosed financial data",news_sentiment,event_category,event_correlation,"Traders could react to the strong quarterly profit growth and improved margins, potentially leading to an upward movement in the stock price. The cumulative net loss for the 9-month period might temper enthusiasm, but the recent quarter's performance is a strong positive signal.",【決算速報】ルネサス、7-9月期(3Q)最終は84％増益,ja,en,https://finance.yahoo.co.jp/news/detail/f61fb5bad9ac429fcd1b4b567344ae53017667b3
Renesas Electronics Corp,RNECY,6723,TOPIX,"[Earnings Flash Report] Renesas Elec: 3Q cumulative pre-tax -49,243 million.",10/30/25,16:12,,Kabutan,Unknown,SIGNIFICANT,HIGH,"The article reports flash financial results for Renesas Electronics, specifically a substantial pre-tax deficit for the third quarter cumulative. This is a concrete, recent financial event that provides actionable intelligence for traders, as such results typically impact stock price.","Reporting of flash financial results (3Q cumulative), Specific pre-tax deficit figure (-49,243 million yen), Timely announcement (October 30), Directly impacts company valuation and potential stock price movement",news_sentiment,event_category,event_correlation,"Traders could consider adjusting their positions (e.g., selling, shorting, or re-evaluating long positions) based on the reported pre-tax deficit, anticipating a negative market reaction to the significant loss.","【決算速報】ルネサスエレ、3Q累計税引前-49,243百万。",ja,en,https://finance.yahoo.co.jp/news/detail/9cb80940e662b87015556a5621c941bb4693beb8
Renesas Electronics Corp,RNECY,6723,TOPIX,"Today's Scheduled Earnings Announcements ... Hitachi, Renesas, Tepco HD and 142 other companies (October 30)",10/30/25,15:37,,Kabutan,Unknown,INSIGNIFICANT,HIGH,"The article is a consolidated schedule of earnings announcements for 142 companies, with Renesas Electronics Corporation being only one line item. It merely states the date of Renesas's upcoming third-quarter financial results announcement and notes that its full-year forecast is undisclosed. It contains no actual financial results, forward-looking statements, or other specific, actionable intelligence about Renesas that could directly impact its stock price or inform a trading decision.","Multi-company consolidation (142 companies listed), Lack of specific company focus on Renesas, No actionable intelligence beyond an upcoming event date, Derivative content (a compilation of public information)",news_sentiment,event_category,event_correlation,None,本日の決算発表予定 … 日立、ルネサス、東電ＨＤなど 142社 (10月30日),ja,en,https://finance.yahoo.co.jp/news/detail/188a6bcf2ee8881038d80a82ff91aa4ed6d06394
Renesas Electronics Corp,RNECY,6723,TOPIX,"Nikkei Average up about 700 yen, top rise rates among constituent stocks are DeNA, JPX, Renesas etc.",10/21/25,12:02,,WealthAdvisor,Unknown,INSIGNIFICANT,HIGH,"The article is a general market overview of the Nikkei 225, listing top gainers and losers. Renesas Electronics Corporation is mentioned only as one of several 'top gainers' without providing any specific company-focused news, events, or reasons for its stock movement. This information is descriptive of past performance rather than providing actionable intelligence for future trading decisions.","Multi-company consolidation article, Renesas is a brief mention, not the primary focus, No specific events or reasons provided for Renesas's stock movement, Generic market description, not company-specific actionable intelligence",news_sentiment,event_category,event_correlation,None,日経平均は７００円程度高、採用銘柄の値上がり率上位はＤｅＮＡ、ＪＰＸ、ルネサスなど,ja,en,https://finance.yahoo.co.jp/news/detail/926fbd101b87cc56250d50b3917637c2c0fba264
Renesas Electronics Corp,RNECY,6723,TOPIX,<From Minkabu/Individual Investor Forecasts> = 'Number of Buy Forecasts Rising' Renesas in 3rd place,10/16/25,16:12,,Minkabu,Unknown,SIGNIFICANT,HIGH,"The article reports two major, recent developments for Renesas: the potential sale of its timing division for up to $2 billion and its strategic contribution to NVIDIA's AI data centers. Both are specific, company-focused, and timely events with clear financial and strategic implications, leading to a significant stock price increase and increased buy forecasts, providing actionable intelligence for traders.","Potential divestiture of timing division for up to $2 billion, Strategic contribution to NVIDIA's AI data centers with next-generation power solutions, Direct positive impact on stock price (over 7% rise) and investor sentiment, Timely and substantiated information from Reuters and company announcements",news_sentiment,event_category,event_correlation,"Traders could assess the potential positive impact of the timing division sale on Renesas's balance sheet or strategic focus, and the growth potential from the NVIDIA partnership in the AI sector. The article also indicates strong current market momentum and investor sentiment for a short-term rebound.",＜みんかぶ・個人投資家の予想から＞＝「買い予想数上昇」３位にルネサス,ja,en,https://finance.yahoo.co.jp/news/detail/59baff122fe2940915634c7e95db627e9cf1f3a5
Renesas Electronics Corp,RNECY,6723,TOPIX,"Nikkei 225 rose by about 340 yen, top gainers among constituent stocks include Socionext, Renesas, SoftBank G, etc.",10/16/25,15:37,,WealthAdvisor,Unknown,INSIGNIFICANT,HIGH,"The provided article content is entirely 'N/A' for title, summary, main content, key points, and category. Without any information, it is impossible to extract actionable intelligence or specific events related to Renesas Electronics Corporation. Therefore, it is insignificant for trading purposes.","No content provided in the article, Lack of any specific events or actionable intelligence, Cannot assess company focus or timeliness due to missing content",news_sentiment,event_category,event_correlation,None,日経平均は３４０円程度高、採用銘柄の値上がり率上位はソシオネクス、ルネサス、ソフバンＧなど,ja,en,https://finance.yahoo.co.jp/news/detail/f1d083b231d9358c8526b5528b85c7d5a2396415
Renesas Electronics Corp,RNECY,6723,TOPIX,"Renesas surged in the afternoon session, reported to be 'considering selling its timing division'",10/15/25,12:02,,Minkabu,Unknown,SIGNIFICANT,HIGH,"The article reports a potential divestiture by Renesas of its timing division for nearly $2 billion, citing a Reuters report. This is a significant corporate restructuring event (M&A activity) that has already caused a stock surge and could materially impact the company's financials and strategic direction, providing clear actionable intelligence for traders.","Potential divestiture of a core business division (timing division), Significant potential sale value (nearly $2 billion), Reported by a credible source (Reuters), Immediate positive market reaction (stock surge)",news_sentiment,event_category,event_correlation,"Traders could analyze the implications of a potential $2 billion cash inflow on Renesas's balance sheet, potential for capital allocation (e.g., share buybacks, dividends, debt reduction, or strategic investments), and the company's future strategic focus post-divestiture. This information could inform decisions on long or short positions, or option strategies.",ルネサスが後場急伸、「タイミング部門の売却検討」と伝わる,ja,en,https://finance.yahoo.co.jp/news/detail/1008761323c6e305909451c2deebe98a773a5b09
Renesas Electronics Corp,RNECY,6723,TOPIX,"Renesas considering selling its timing division, TI, Infineon Germany, etc. may show interest",10/15/25,16:12,,Minkabu,Unknown,SIGNIFICANT,HIGH,"The article reports that Renesas is considering selling its timing division for approximately $2 billion, with discussions in early stages and JP Morgan involved. This potential divestiture is a significant corporate restructuring event that could materially impact the company's financials, strategic focus, and stock valuation, providing actionable intelligence for traders.","Potential divestiture of a significant division (approx. $2 billion valuation), Strategic corporate restructuring/M&A activity, Involvement of major financial advisor (JP Morgan), Timely and specific event with direct company focus",news_sentiment,event_category,event_correlation,"Traders could anticipate potential stock price movements due to the strategic shift, potential cash infusion, or changes in the company's asset base and future revenue streams. This news could lead to increased volatility or a re-evaluation of the company's valuation.",ルネサス、タイミング部門の売却検討　ＴＩや独インフィニオンなどが関心を寄せる可能性,ja,en,https://finance.yahoo.co.jp/news/detail/f9c3b5b38be45164ec12276eff3a94a90e0e6d03
Renesas Electronics Corp,RNECY,6723,TOPIX,"Can't be the main player in the semiconductor market? Renesas shares, will annual returns be positive or negative (October 6, 2025)",10/6/25,15:37,,LIMO,Unknown,INSIGNIFICANT,HIGH,"The article provides a detailed retrospective analysis of Renesas Electronics' stock performance over the past year, up to October 6, 2025. While it references past specific events (e.g., February 2025 earnings, April 2025 tariff concerns) that impacted the stock, it does not present any new, forward-looking information such as upcoming earnings, new product launches, strategic partnerships, or management changes that would constitute actionable intelligence for immediate trading decisions. It is a historical review rather than a report on current or impending events.","Historical/Retrospective Analysis of past stock performance, Lack of new, forward-looking actionable intelligence, Content is descriptive of past events, not prescriptive for future trading",news_sentiment,event_category,event_correlation,None,半導体相場の主役になれず？ルネサス株、年間リターンはプラスかマイナスか（2025年10月6日）,ja,en,https://finance.yahoo.co.jp/news/detail/a7e5ed429cbc229ae1a92b95fd2425394799aea7
Renesas Electronics Corp,RNECY,6723,TOPIX,"Rating Information (Investment Rating Change) = Renesas, etc.",10/6/25,12:02,,WealthAdvisor,Unknown,INSIGNIFICANT,HIGH,"The article reports an analyst rating downgrade and a significant target price reduction for Renesas. However, it fails to provide any reasoning or justification from Mizuho Securities for these changes. According to the criteria, 'Unsubstantiated Ratings: Analyst ratings without explaining reasoning' makes an article INSIGNIFICANT. While the event itself is specific, the lack of underlying rationale prevents it from being truly actionable intelligence for a well-informed trading decision. Additionally, it covers multiple companies.","Analyst rating downgrade and target price revision are unsubstantiated (no reasoning provided)., Article covers multiple companies, diluting focus., Lacks specific events, data, or reasoning to back the analyst's decision.",news_sentiment,event_category,event_correlation,None,レーティング情報（投資判断変更）＝ルネサスなど,ja,en,https://finance.yahoo.co.jp/news/detail/ec672789f1f6d1e3aca1f9b935e9220ea9f5c625
Renesas Electronics Corp,RNECY,6723,TOPIX,"<Rating Change Observation> Renesas downgrade, etc.",10/6/25,12:02,,WealthAdvisor,Unknown,SIGNIFICANT,HIGH,"The article reports a specific and recent event: a significant downgrade of Renesas's rating by a bank-affiliated company and a substantial reduction in its target stock price (from 3200 yen to 1850 yen). This information is concrete, timely, and directly actionable for traders, as it indicates a negative outlook from a professional source that could impact stock price.","Specific rating downgrade by a bank-affiliated company, Substantial reduction in target stock price (3200 yen to 1850 yen), Timely and recent observation (10/6), Directly impacts investor sentiment and potential trading decisions",news_sentiment,event_category,event_correlation,"Traders might consider selling existing positions, shorting the stock, or re-evaluating their investment thesis due to the negative analyst outlook and significantly lowered target price.",＜レーティング変更観測＞ルネサス格下げなど,ja,en,https://finance.yahoo.co.jp/news/detail/39e85aab921b3b7dce21716fd9bdda4c0eff1941
Renesas Electronics Corp,RNECY,6723,TOPIX,"[Analyst Forecast] Renesas Electronics, FY25 December ordinary income forecast. Down from previous week.",10/3/25,16:12,,IFIS,Unknown,SIGNIFICANT,HIGH,"The article reports a substantial downward revision in Renesas Electronics' FY25 operating profit forecast by analysts, along with a lowered rating consensus. This significant negative shift in future financial outlook provides direct, actionable intelligence for traders, as it could negatively impact the company's stock price.","Significant downward revision of FY25 operating profit forecast (from -3,780 million yen to -56,440 million yen)., Lowered analyst rating consensus (from 4.5 to 4.3)., Directly impacts future financial expectations and potential stock performance., Timely and specific data from a named source (IFIS Stock Forecast).",news_sentiment,event_category,event_correlation,"Traders could consider reducing long positions, initiating short positions, or adjusting their investment strategy for Renesas Electronics due to the significantly worsened analyst outlook on future profitability and lowered rating.",【アナリスト予想】ルネサスエレ、25年12月期経常予想。対前週下降。,ja,en,https://finance.yahoo.co.jp/news/detail/127280ea3209a8725acf0bfd0ae6fc38f9dce4c8
Renesas Electronics Corp,RNECY,6723,TOPIX,"[Analyst Rating] Renesas Electronics, rating lowered to Neutral, target price lowered to 1,850 yen (Major Japanese Securities Firm)",10/3/25,15:37,,IFIS,Unknown,SIGNIFICANT,HIGH,"The article reports a significant downgrade of Renesas Electronics' rating from 'Outperform (Buy)' to 'Neutral' and a substantial reduction in its target price (from 3,200 yen to 1,850 yen) by a major Japanese securities firm. This is a concrete, recent event with direct implications for the company's market valuation and stock performance, providing actionable intelligence for traders.","Significant analyst rating downgrade (Buy to Neutral), Substantial target price reduction (3,200 yen to 1,850 yen), Source is a 'major Japanese securities firm', indicating credibility and potential market impact, Timely reporting of a recent event (October 3rd)",news_sentiment,event_category,event_correlation,"Traders might consider selling existing long positions, shorting the stock, or refraining from initiating new long positions due to the negative analyst sentiment and revised valuation.","【アナリスト評価】ルネサスエレ、レーティング中立に引下げ、目標株価1,850円に引下げ（日系大手証券）",ja,en,https://finance.yahoo.co.jp/news/detail/12a69a986e45f5957d63b18def82a3695154bc2c
Renesas Electronics Corp,RNECY,6723,TOPIX,"Nikkei Average is up about 690 yen, with top gainers among constituent stocks including Renesas, Hitachi, and SUMCO.",10/3/25,12:02,,WealthAdvisor,Unknown,INSIGNIFICANT,HIGH,"The article is a multi-company market overview focusing on the overall Nikkei 225 performance. Renesas Electronics Corporation is merely listed as one of several 'top gainers' without any specific company-focused news, events, or reasons for its stock movement. It lacks actionable intelligence specific to Renesas.","Multi-Company Consolidation, Generic Descriptions, Lack of Specific Events for Renesas, Not Company-Focused",news_sentiment,event_category,event_correlation,None,日経平均は６９０円程度高、採用銘柄の値上がり率上位はルネサス、日立、ＳＵＭＣＯなど,ja,en,https://finance.yahoo.co.jp/news/detail/a58941f7ab020f452586b30f362865c877aff7ea
Renesas Electronics Corp,RNECY,6723,TOPIX,"[Analyst Forecast] Renesas Electronics, FY25 December ordinary income forecast. Decline from previous week.",9/18/25,12:02,,IFIS,Unknown,SIGNIFICANT,HIGH,"The article reports a substantial and rapid decline in Renesas Electronics' recurring profit forecast consensus for FY25/12, shifting from a positive 7,025 million yen to a negative -3,780 million yen within a week. This is a critical piece of actionable intelligence as it indicates a significantly worsened outlook for the company's future profitability, which could directly impact its stock price.","Significant downward revision of recurring profit forecast, Shift from positive to negative profit expectation for FY25/12, Timely update reflecting a change from the previous week, Directly impacts future earnings expectations and potential stock valuation",news_sentiment,event_category,event_correlation,"Traders might consider selling existing positions, short-selling, or avoiding buying the stock due to the significantly deteriorated profit outlook indicated by the revised analyst consensus.",【アナリスト予想】ルネサスエレ、25年12月期経常予想。対前週下降。,ja,en,https://finance.yahoo.co.jp/news/detail/4481c48dddc73cf8d761826e6ca7371815a40ae2
Renesas Electronics Corp,RNECY,6723,TOPIX,"[Analyst Rating] Renesas Electronics, rating maintained at Neutral, target price lowered to 1,900 yen (Major US brokerage).",9/18/25,16:12,,IFIS,Unknown,SIGNIFICANT,MEDIUM,"The article reports a specific, recent event: a major US brokerage firm lowered its target price for Renesas Electronics. While the article does not provide the detailed reasoning behind the analyst's decision, the fact of a target price revision from a major firm is a concrete piece of information that can influence investor sentiment and potentially impact the stock price in the near term. Traders often react to such changes, even without the full rationale immediately available.","Target price lowered by a major US brokerage firm, Specific and recent date of the analyst action (September 17), Directly impacts investor sentiment and potential stock valuation, Focuses solely on Renesas Electronics Corporation",news_sentiment,event_category,event_correlation,"Traders might interpret the lowered target price as a negative signal, potentially leading them to reduce existing positions, hold off on new purchases, or consider shorting the stock, anticipating a negative market reaction.","【アナリスト評価】ルネサスエレ、レーティング中立を据置き、目標株価1,900円に引下げ（米系大手証券）",ja,en,https://finance.yahoo.co.jp/news/detail/4ed2851bb730e6a4de7da8e2630d706e7be94db6
